FIPS,Percent_Rural
1001,42.0
1003,42.3
1005,67.8
1007,68.4
1009,90.0
1011,51.4
1013,71.2
1015,33.7
1017,49.1
1019,85.7
1021,86.7
1023,100.0
1025,76.0
1027,100.0
1029,100.0
1031,47.2
1033,43.9
1035,80.9
1037,100.0
1039,69.7
1041,100.0
1043,73.2
1045,50.9
1047,45.6
1049,90.1
1051,54.2
1053,63.5
1055,37.5
1057,80.2
1059,70.4
1061,89.6
1063,100.0
1065,89.2
1067,87.8
1069,33.8
1071,77.0
1073,9.8
1075,100.0
1077,49.3
1079,91.3
1081,27.4
1083,57.6
1085,100.0
1087,55.5
1089,16.4
1091,69.3
1093,88.9
1095,53.3
1097,20.0
1099,79.0
1101,10.5
1103,38.6
1105,100.0
1107,100.0
1109,51.7
1111,81.3
1113,35.4
1115,72.8
1117,22.9
1119,100.0
1121,55.8
1123,74.2
1125,25.5
1127,74.1
1129,100.0
1131,100.0
1133,84.9
2013,100.0
2016,100.0
2020,4.1
2050,73.9
2060,100.0
2068,100.0
2070,100.0
2090,30.9
2100,100.0
2105,
2110,21.5
2122,79.3
2130,23.2
2150,31.3
2158,
2164,100.0
2170,50.3
2180,66.1
2185,59.3
2188,57.5
2195,
2198,
2220,20.9
2230,
2240,100.0
2261,100.0
2275,
2282,100.0
2290,100.0
4001,74.1
4003,36.3
4005,31.5
4007,41.1
4009,46.4
4011,46.6
4012,56.3
4013,2.4
4015,23.0
4017,54.1
4019,7.5
4021,21.9
4023,26.9
4025,33.2
4027,10.4
5001,34.7
5003,51.7
5005,65.8
5007,25.2
5009,62.2
5011,49.6
5013,100.0
5015,72.8
5017,54.3
5019,54.4
5021,58.9
5023,75.5
5025,100.0
5027,57.5
5029,70.5
5031,32.2
5033,52.0
5035,20.9
5037,56.8
5039,52.6
5041,31.4
5043,48.6
5045,38.8
5047,82.6
5049,92.9
5051,36.9
5053,75.0
5055,41.5
5057,55.8
5059,66.0
5061,67.5
5063,68.6
5065,100.0
5067,65.1
5069,30.9
5071,71.4
5073,100.0
5075,63.6
5077,63.5
5079,100.0
5081,68.5
5083,71.0
5085,44.8
5087,100.0
5089,100.0
5091,40.0
5093,36.3
5095,69.0
5097,100.0
5099,69.2
5101,100.0
5103,56.4
5105,100.0
5107,48.0
5109,100.0
5111,71.1
5113,73.4
5115,54.5
5117,100.0
5119,12.3
5121,67.4
5123,51.6
5125,36.2
5127,70.4
5129,100.0
5131,20.8
5133,63.6
5135,80.1
5137,100.0
5139,54.5
5141,100.0
5143,25.5
5145,54.3
5147,100.0
5149,79.1
6001,0.4
6003,100.0
6005,60.4
6007,18.9
6009,75.4
6011,31.7
6013,0.8
6015,33.7
6017,34.7
6019,10.8
6021,40.9
6023,29.8
6025,17.4
6027,46.4
6029,10.2
6031,10.9
6033,33.1
6035,70.5
6037,0.6
6039,32.9
6041,6.5
6043,100.0
6045,45.2
6047,14.3
6049,70.0
6051,45.8
6053,9.8
6055,13.4
6057,42.1
6059,0.1
6061,13.8
6063,74.0
6065,4.6
6067,2.1
6069,24.0
6071,4.7
6073,3.3
6075,0.0
6077,8.5
6079,16.6
6081,1.9
6083,5.0
6085,1.1
6087,12.0
6089,29.3
6091,99.7
6093,65.8
6095,3.7
6097,12.4
6099,8.0
6101,14.8
6103,51.5
6105,100.0
6107,15.5
6109,49.0
6111,3.1
6113,6.9
6115,26.2
8001,3.6
8003,36.9
8005,1.6
8007,59.4
8009,100.0
8011,38.0
8013,8.9
8014,0.6
8015,37.4
8017,100.0
8019,100.0
8021,100.0
8023,100.0
8025,100.0
8027,100.0
8029,63.2
8031,0.0
8033,100.0
8035,10.3
8037,20.0
8039,100.0
8041,8.9
8043,26.4
8045,24.1
8047,100.0
8049,82.6
8051,58.6
8053,100.0
8055,56.1
8057,100.0
8059,6.9
8061,100.0
8063,48.7
8065,31.1
8067,59.9
8069,11.7
8071,40.8
8073,100.0
8075,29.2
8077,12.7
8079,100.0
8081,27.4
8083,67.2
8085,45.0
8087,32.5
8089,34.4
8091,100.0
8093,100.0
8095,100.0
8097,44.2
8099,37.9
8101,14.2
8103,100.0
8105,62.5
8107,45.2
8109,100.0
8111,100.0
8113,100.0
8115,100.0
8117,19.5
8119,62.6
8121,100.0
8123,20.5
8125,64.9
9001,4.6
9003,5.4
9005,41.4
9007,24.5
9009,3.6
9011,25.8
9013,38.2
9015,49.8
10001,27.0
10003,4.6
10005,41.3
11001,0.0
12001,21.2
12003,59.5
12005,12.0
12007,75.5
12009,5.1
12011,0.0
12013,67.5
12015,8.9
12017,34.5
12019,15.0
12021,8.5
12023,62.1
12027,46.2
12029,77.0
12031,2.9
12033,8.3
12035,10.3
12037,68.0
12039,65.4
12041,83.9
12043,70.6
12045,77.1
12047,63.5
12049,47.8
12051,37.9
12053,19.4
12055,21.1
12057,3.5
12059,78.8
12061,5.0
12063,75.4
12065,100.0
12067,100.0
12069,19.3
12071,5.8
12073,12.3
12075,92.0
12077,100.0
12079,80.0
12081,5.8
12083,31.0
12085,8.5
12086,0.4
12087,8.7
12089,48.1
12091,12.1
12093,36.5
12095,2.0
12097,7.8
12099,1.0
12101,9.5
12103,0.3
12105,13.5
12107,56.2
12109,23.8
12111,3.4
12113,21.0
12115,4.3
12117,3.2
12119,35.0
12121,83.2
12123,69.3
12125,67.4
12127,9.9
12129,61.7
12131,63.1
12133,84.6
13001,71.4
13003,100.0
13005,69.3
13007,100.0
13009,35.1
13011,93.8
13013,30.1
13015,35.2
13017,34.0
13019,76.1
13021,14.4
13023,51.6
13025,99.4
13027,71.0
13029,52.3
13031,48.3
13033,75.0
13035,77.9
13037,100.0
13039,31.4
13043,67.0
13045,41.8
13047,28.1
13049,51.0
13051,4.5
13053,29.5
13055,57.6
13057,17.1
13059,5.9
13061,100.0
13063,0.9
13065,60.4
13067,0.2
13069,66.6
13071,58.9
13073,16.2
13075,59.4
13077,32.9
13079,100.0
13081,47.0
13083,72.1
13085,80.3
13087,56.5
13089,0.3
13091,72.2
13093,53.7
13095,14.0
13097,15.8
13099,66.0
13101,100.0
13103,67.1
13105,70.6
13107,66.9
13109,61.3
13111,100.0
13113,18.2
13115,36.8
13117,9.9
13119,88.9
13121,1.1
13123,87.6
13125,100.0
13127,20.6
13129,51.6
13131,62.4
13133,82.7
13135,0.5
13137,58.8
13139,20.6
13141,61.6
13143,77.4
13145,96.7
13147,74.5
13149,100.0
13151,13.9
13153,10.0
13155,64.7
13157,60.0
13159,81.8
13161,69.5
13163,80.7
13165,66.1
13167,65.4
13169,67.7
13171,60.9
13173,71.1
13175,56.6
13177,36.2
13179,23.2
13181,100.0
13183,81.3
13185,27.2
13187,83.9
13189,61.0
13191,74.3
13193,53.2
13195,91.9
13197,100.0
13199,83.3
13201,100.0
13205,54.5
13207,80.2
13209,98.7
13211,75.4
13213,70.1
13215,3.0
13217,31.2
13219,50.3
13221,99.3
13223,20.1
13225,38.2
13227,73.1
13229,79.4
13231,99.0
13233,51.4
13235,66.7
13237,80.9
13239,73.1
13241,79.3
13243,50.6
13245,9.2
13247,14.9
13249,100.0
13251,78.9
13253,68.6
13255,41.6
13257,58.6
13259,100.0
13261,41.8
13263,93.9
13265,100.0
13267,68.2
13269,100.0
13271,47.0
13273,52.1
13275,46.0
13277,40.8
13279,51.1
13281,100.0
13283,58.9
13285,44.3
13287,49.7
13289,100.0
13291,100.0
13293,46.9
13295,43.9
13297,42.7
13299,29.4
13301,100.0
13303,65.6
13305,57.9
13307,100.0
13309,100.0
13311,83.8
13313,29.1
13315,100.0
13317,67.4
13319,100.0
13321,69.2
15001,38.0
15003,0.9
15005,100.0
15007,12.9
15009,14.6
16001,5.5
16003,100.0
16005,15.7
16007,100.0
16009,71.9
16011,56.0
16013,32.8
16015,100.0
16017,72.4
16019,13.0
16021,76.2
16023,100.0
16025,100.0
16027,19.9
16029,59.9
16031,51.5
16033,100.0
16035,58.6
16037,100.0
16039,26.9
16041,66.2
16043,72.0
16045,45.0
16047,58.1
16049,80.6
16051,66.6
16053,51.3
16055,24.2
16057,35.0
16059,61.1
16061,100.0
16063,100.0
16065,28.5
16067,44.2
16069,19.2
16071,100.0
16073,77.3
16075,42.7
16077,42.6
16079,56.0
16081,100.0
16083,28.0
16085,100.0
16087,45.6
17001,32.6
17003,61.9
17005,60.7
17007,19.4
17009,41.1
17011,57.4
17013,100.0
17015,81.9
17017,52.1
17019,12.7
17021,43.5
17023,59.5
17025,64.7
17027,48.8
17029,24.3
17031,0.0
17033,60.2
17035,100.0
17037,20.3
17039,48.8
17041,61.6
17043,0.0
17045,51.8
17047,100.0
17049,59.7
17051,67.0
17053,41.8
17055,48.6
17057,60.0
17059,100.0
17061,70.8
17063,24.4
17065,68.1
17067,71.0
17069,100.0
17071,99.7
17073,50.3
17075,71.7
17077,37.2
17079,69.9
17081,58.8
17083,60.6
17085,72.6
17087,100.0
17089,3.6
17091,24.5
17093,10.4
17095,24.3
17097,1.3
17099,30.2
17101,58.0
17103,53.2
17105,40.8
17107,39.9
17109,29.5
17111,9.9
17113,16.5
17115,15.3
17117,58.5
17119,13.3
17121,45.1
17123,100.0
17125,77.5
17127,50.5
17129,75.7
17131,77.8
17133,41.4
17135,41.6
17137,36.2
17139,69.2
17141,47.1
17143,14.6
17145,43.6
17147,67.7
17149,72.3
17151,100.0
17153,100.0
17155,100.0
17157,42.6
17159,43.5
17161,10.9
17163,9.8
17165,43.7
17167,14.1
17169,57.6
17171,100.0
17173,77.7
17175,100.0
17177,40.1
17179,20.4
17181,65.9
17183,31.3
17185,38.9
17187,45.5
17189,73.6
17191,69.9
17193,62.0
17195,37.3
17197,3.9
17199,34.8
17201,7.9
17203,54.9
18001,53.7
18003,11.9
18005,33.7
18007,100.0
18009,50.6
18011,34.4
18013,100.0
18015,81.4
18017,44.7
18019,20.5
18021,60.9
18023,49.8
18025,100.0
18027,60.3
18029,53.1
18031,53.8
18033,42.3
18035,22.8
18037,49.2
18039,20.6
18041,36.8
18043,20.3
18045,66.0
18047,88.9
18049,64.9
18051,53.6
18053,28.9
18055,74.8
18057,5.6
18059,30.4
18061,85.8
18063,17.8
18065,42.9
18067,21.5
18069,51.0
18071,43.7
18073,68.0
18075,55.7
18077,45.1
18079,60.2
18081,13.9
18083,36.2
18085,46.6
18087,91.6
18089,4.0
18091,35.6
18093,58.4
18095,23.1
18097,0.6
18099,63.3
18101,72.3
18103,46.5
18105,21.2
18107,52.8
18109,49.1
18111,100.0
18113,68.0
18115,100.0
18117,83.5
18119,100.0
18121,75.0
18123,55.0
18125,100.0
18127,20.8
18129,66.8
18131,80.9
18133,64.8
18135,61.9
18137,83.2
18139,61.2
18141,9.0
18143,52.7
18145,52.0
18147,100.0
18149,82.4
18151,67.2
18153,79.0
18155,100.0
18157,14.5
18159,61.6
18161,100.0
18163,9.2
18165,60.4
18167,23.8
18169,50.0
18171,77.1
18173,29.3
18175,76.8
18177,33.0
18179,50.6
18181,68.0
18183,71.2
19001,100.0
19003,100.0
19005,74.0
19007,58.3
19009,100.0
19011,80.7
19013,13.5
19015,50.6
19017,64.5
19019,68.5
19021,43.9
19023,100.0
19025,100.0
19027,52.0
19029,53.6
19031,83.4
19033,20.6
19035,61.4
19037,73.5
19039,48.1
19041,34.3
19043,96.6
19045,32.2
19047,51.8
19049,30.6
19051,100.0
19053,100.0
19055,71.5
19057,26.7
19059,35.0
19061,27.0
19063,39.9
19065,70.6
19067,52.7
19069,60.2
19071,100.0
19073,58.2
19075,100.0
19077,100.0
19079,50.5
19081,70.0
19083,71.1
19085,81.1
19087,57.1
19089,63.0
19091,46.6
19093,100.0
19095,82.2
19097,53.3
19099,57.5
19101,38.7
19103,18.5
19105,58.0
19107,100.0
19109,65.6
19111,40.6
19113,12.7
19115,100.0
19117,56.2
19119,100.0
19121,67.8
19123,43.9
19125,48.7
19127,33.9
19129,59.6
19131,67.2
19133,71.2
19135,55.2
19137,47.9
19139,25.6
19141,66.3
19143,58.4
19145,33.4
19147,61.5
19149,62.9
19151,100.0
19153,4.9
19155,26.4
19157,52.0
19159,100.0
19161,100.0
19163,13.5
19165,59.4
19167,50.8
19169,16.9
19171,72.4
19173,100.0
19175,39.2
19177,100.0
19179,30.5
19181,42.0
19183,69.5
19185,100.0
19187,33.9
19189,66.1
19191,59.0
19193,17.5
19195,100.0
19197,56.8
20001,57.2
